HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2458565.54877,2019-03-23.0463475,bi,1.36,16.429,13.802,0.019,10.940,0.197,g
2458565.55000,2019-03-23.0475725,bi,1.41,16.395,13.812,0.020,10.845,0.203,g
2458565.72976,2019-03-23.2273427,bE,1.45,16.084,13.766,0.026,11.315,0.269,g
2458565.73104,2019-03-23.2286252,bE,1.54,16.058,13.813,0.028,10.833,0.276,g
2458565.73232,2019-03-23.2298995,bE,1.56,16.186,13.793,0.024,11.038,0.246,g
2458566.52447,2019-03-24.0220886,bi,1.58,16.592,13.798,0.017,10.986,0.169,g
2458566.52569,2019-03-24.0233067,bi,1.57,16.588,13.775,0.016,11.219,0.171,g
2458566.52692,2019-03-24.0245365,bi,1.58,16.615,13.800,0.016,10.964,0.166,g
2458566.71716,2019-03-24.2147836,bE,1.48,16.339,13.753,0.020,11.449,0.214,g
2458566.71843,2019-03-24.2160523,bE,1.47,16.270,13.757,0.022,11.401,0.228,g
2458566.71971,2019-03-24.2173267,bE,1.45,16.325,13.795,0.021,11.014,0.218,g
2458567.54122,2019-03-25.0388687,bE,1.43,16.696,13.816,0.015,10.805,0.155,g
2458567.54249,2019-03-25.0401355,bE,1.46,16.701,13.769,0.015,11.281,0.153,g
2458567.54375,2019-03-25.0414004,bE,1.47,16.755,13.797,0.014,11.004,0.147,g
2458567.72799,2019-03-25.2256432,bE,1.52,16.353,13.778,0.020,11.185,0.211,g
2458567.72927,2019-03-25.2269208,bE,1.46,16.409,13.860,0.021,10.376,0.200,g
2458567.73054,2019-03-25.2281875,bE,1.51,16.327,13.827,0.022,10.695,0.216,g
2458568.53689,2019-03-26.0345732,bE,1.46,16.709,13.764,0.014,11.339,0.153,g
2458568.53816,2019-03-26.0358385,bE,1.44,16.715,13.787,0.015,11.103,0.152,g
2458568.53943,2019-03-26.0371162,bE,1.47,16.722,13.809,0.015,10.872,0.151,g
2458568.71997,2019-03-26.2176612,bi,1.49,16.398,13.781,0.020,11.161,0.202,g
2458568.72119,2019-03-26.2188814,bi,1.48,16.313,13.739,0.020,11.591,0.219,g
2458568.72241,2019-03-26.2200997,bi,1.42,16.333,13.787,0.021,11.100,0.214,g
2458569.53225,2019-03-27.0299815,bE,1.46,16.667,13.791,0.015,11.051,0.158,g
2458569.53352,2019-03-27.0312450,bE,1.51,16.706,13.775,0.015,11.214,0.154,g
2458569.53478,2019-03-27.0325099,bE,1.46,16.689,13.774,0.015,11.231,0.157,g
2458571.31074,2019-03-28.8085217,bm,1.52,16.638,13.792,0.016,11.040,0.163,g
2458571.31203,2019-03-28.8098173,bm,1.54,16.640,13.811,0.016,10.852,0.162,g
2458571.31325,2019-03-28.8110371,bm,1.52,16.663,13.781,0.015,11.155,0.159,g
2458571.41091,2019-03-28.9087023,bm,1.55,16.626,13.818,0.016,10.789,0.164,g
2458571.41213,2019-03-28.9099184,bm,1.56,16.631,13.829,0.016,10.672,0.164,g
2458571.41335,2019-03-28.9111331,bm,1.57,16.618,13.840,0.017,10.561,0.166,g
2458572.46918,2019-03-29.9670050,bm,1.54,16.565,13.791,0.017,11.047,0.174,g
2458572.47038,2019-03-29.9682092,bm,1.54,16.532,13.784,0.017,11.130,0.179,g
2458572.47159,2019-03-29.9694238,bm,1.47,16.549,13.799,0.017,10.976,0.177,g
2458574.55447,2019-04-01.0523909,bE,1.43,16.684,13.779,0.015,11.184,0.156,g
2458574.55575,2019-04-01.0536709,bE,1.43,16.709,13.796,0.015,11.014,0.153,g
2458574.55702,2019-04-01.0549401,bE,1.46,16.725,13.761,0.014,11.370,0.151,g
2458575.65544,2019-04-02.1534055,bi,1.48,16.566,13.801,0.017,10.958,0.174,g
2458575.65666,2019-04-02.1546284,bi,1.47,16.578,13.832,0.017,10.644,0.172,g
2458575.65788,2019-04-02.1558468,bi,1.40,16.581,13.828,0.017,10.685,0.172,g
2458576.61361,2019-04-03.1116133,bi,1.43,16.597,13.780,0.016,11.168,0.169,g
2458576.61483,2019-04-03.1128346,bi,1.44,16.592,13.802,0.017,10.942,0.169,g
2458576.61604,2019-04-03.1140487,bi,1.40,16.609,13.800,0.016,10.969,0.167,g
2458578.50078,2019-04-04.9988635,bE,1.48,16.730,13.791,0.015,11.054,0.150,g
2458578.50204,2019-04-05.0001245,bE,1.58,16.709,13.777,0.015,11.201,0.153,g
2458578.50332,2019-04-05.0014069,bE,1.48,16.701,13.778,0.015,11.187,0.154,g
2458579.52313,2019-04-06.0212697,bE,1.46,16.690,13.790,0.015,11.070,0.155,g
2458579.52441,2019-04-06.0225362,bE,1.48,16.669,13.787,0.015,11.101,0.158,g
2458579.52567,2019-04-06.0238003,bE,1.54,16.717,13.807,0.015,10.896,0.152,g
2458580.54651,2019-04-07.0446865,bi,1.45,16.623,13.822,0.017,10.739,0.164,g
2458580.54773,2019-04-07.0459046,bi,1.43,16.583,13.793,0.017,11.041,0.171,g
2458580.54895,2019-04-07.0471216,bi,1.41,16.608,13.808,0.017,10.883,0.168,g
2458581.53430,2019-04-08.0325084,bi,1.38,16.599,13.763,0.016,11.348,0.168,g
2458581.53553,2019-04-08.0337418,bi,1.37,16.613,13.770,0.016,11.273,0.166,g
2458581.53676,2019-04-08.0349706,bi,1.43,16.629,13.770,0.016,11.280,0.164,g
2458582.53954,2019-04-09.0378050,bi,1.39,16.596,13.769,0.016,11.276,0.169,g
2458582.54075,2019-04-09.0390195,bi,1.41,16.599,13.797,0.016,10.988,0.168,g
