HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459558.63202,2021-12-10.1306422,bE,1.52,17.067,14.613,0.023,5.187,0.108,g
2459558.67356,2021-12-10.1721829,bi,1.43,17.014,14.700,0.026,4.788,0.114,g
2459559.39684,2021-12-10.8954252,bm,1.65,17.118,14.333,0.017,6.712,0.103,g
2459560.63566,2021-12-12.1341799,bE,1.54,17.226,14.243,0.014,7.294,0.093,g
2459562.64028,2021-12-14.1386990,bE,1.58,17.148,14.295,0.016,6.953,0.100,g
2459563.65729,2021-12-15.1556589,bE,1.48,17.297,14.255,0.013,7.211,0.088,g
2459564.72441,2021-12-16.2227243,bE,1.44,17.150,14.240,0.015,7.311,0.100,g
2459565.76795,2021-12-17.2662142,bi,1.41,16.867,14.565,0.026,5.422,0.130,g
2459567.65527,2021-12-19.1534442,bi,1.46,16.579,14.399,0.029,6.316,0.170,g
2459570.83019,2021-12-22.3282258,bi,1.46,16.968,14.316,0.019,6.815,0.119,g
2459573.80181,2021-12-25.2997047,bi,1.51,16.806,15.321,0.055,2.702,0.138,g
2459576.61600,2021-12-28.1137800,bi,1.44,16.984,14.877,0.031,4.065,0.117,g
2459577.82864,2021-12-29.3263590,bE,1.49,17.040,14.786,0.027,4.422,0.111,g
2459579.63260,2021-12-31.1302490,bE,1.50,16.965,15.121,0.040,3.248,0.119,g
2459580.69442,2022-01-01.1920265,bE,1.47,16.928,15.443,0.055,2.414,0.123,g
2459581.73916,2022-01-02.2367222,bi,1.40,16.904,15.199,0.045,3.022,0.126,g
2459583.57560,2022-01-04.0731021,bi,1.47,16.895,15.103,0.042,3.304,0.127,g
2459584.63900,2022-01-05.1364539,bE,1.48,17.042,14.905,0.030,3.961,0.111,g
2459585.82578,2022-01-06.3231996,bE,1.44,17.054,14.850,0.029,4.167,0.110,g
2459586.80397,2022-01-07.3013539,bi,1.44,16.824,15.550,0.067,2.187,0.135,g
2459587.60455,2022-01-08.1019023,bE,1.51,16.983,15.071,0.037,3.400,0.117,g
2459588.60940,2022-01-09.1067186,bE,1.45,16.953,15.199,0.043,3.023,0.120,g
2459591.81455,2022-01-12.3117724,bE,1.49,17.091,14.667,0.023,4.933,0.106,g
2459594.86695,2022-01-15.3640787,bi,1.40,16.831,14.840,0.035,4.209,0.134,g
2459595.79316,2022-01-16.290275,bi,1.46,16.804,14.631,0.029,5.098,0.138,g
2459597.69594,2022-01-18.1930079,bi,1.45,16.584,15.120,0.056,3.252,0.169,g
2459598.73181,2022-01-19.2288506,bE,1.54,16.888,14.841,0.033,4.205,0.128,g
2459600.68539,2022-01-21.1823804,bE,2.02,17.049,14.687,0.025,4.845,0.110,g
2459601.85226,2022-01-22.3492261,bE,1.55,16.902,14.957,0.036,3.777,0.126,g
2459602.64183,2022-01-23.1387761,bi,1.49,16.975,14.738,0.028,4.620,0.118,g
2459603.82519,2022-01-24.3221142,bE,1.58,17.059,14.670,0.024,4.919,0.109,g
2459605.84421,2022-01-26.3410959,bE,1.51,17.076,14.628,0.023,5.115,0.107,g
2459606.62856,2022-01-27.1254348,bi,1.46,17.012,14.694,0.026,4.813,0.114,g
2459608.34474,2022-01-28.8415858,bm,2.12,17.012,14.727,0.026,4.668,0.114,g
2459609.69538,2022-01-30.1922151,bE,1.53,17.061,14.827,0.028,4.258,0.109,g
2459610.63740,2022-01-31.1342144,bE,1.49,16.985,15.164,0.041,3.122,0.117,g
2459611.69608,2022-02-01.1928943,bE,1.48,16.958,15.320,0.048,2.703,0.120,g
2459612.71217,2022-02-02.2089762,bi,1.45,16.881,15.159,0.045,3.137,0.128,g
2459613.81649,2022-02-03.3132754,bi,1.44,16.775,15.906,0.098,1.577,0.142,g
2459614.37471,2022-02-03.8714984,bm,1.56,16.958,14.972,0.035,3.725,0.120,g
2459614.81671,2022-02-04.3134849,bE,1.44,17.059,14.798,0.027,4.372,0.109,g
2459616.65855,2022-02-06.1553114,bE,1.49,17.287,14.343,0.014,6.650,0.088,g
2459616.66821,2022-02-06.1649745,bi,1.46,17.176,14.391,0.017,6.364,0.098,g
2459617.69104,2022-02-07.1877983,bE,1.51,17.274,14.337,0.015,6.690,0.089,g
2459619.42755,2022-02-08.9242917,bm,2.47,17.193,14.418,0.017,6.206,0.096,g
2459619.57317,2022-02-09.0699185,bi,1.44,17.072,14.529,0.021,5.601,0.108,g
2459620.56814,2022-02-10.0648871,bE,1.55,17.071,14.709,0.025,4.746,0.108,g
2459621.61859,2022-02-11.1153334,bE,1.49,17.048,14.535,0.021,5.573,0.110,g
2459622.63992,2022-02-12.1366692,bi,1.43,16.870,14.622,0.027,5.144,0.130,g
2459622.66676,2022-02-12.1635118,bE,1.48,17.008,14.647,0.025,5.028,0.114,g
2459623.66858,2022-02-13.1653258,bE,1.47,16.952,14.552,0.024,5.485,0.120,g
2459624.64100,2022-02-14.13775,bi,1.51,16.820,14.480,0.025,5.862,0.136,g
2459624.65583,2022-02-14.1525812,bE,1.47,17.008,14.503,0.022,5.741,0.114,g
2459625.66966,2022-02-15.1664061,bE,1.50,16.906,14.462,0.023,5.958,0.126,g
2459625.69357,2022-02-15.1903190,bi,1.44,16.711,14.419,0.026,6.203,0.150,g
2459626.74229,2022-02-16.2390368,bE,1.50,16.844,14.605,0.028,5.225,0.133,g
2459627.63181,2022-02-17.1285671,bi,1.40,16.761,14.850,0.037,4.167,0.143,g
2459628.31943,2022-02-17.8161871,bm,2.49,16.619,15.189,0.058,3.050,0.164,g
2459628.53603,2022-02-18.0327868,bi,2.00,16.823,15.356,0.056,2.616,0.135,g
2459630.45343,2022-02-19.9501960,bm,1.55,16.739,15.278,0.057,2.811,0.146,g
2459632.51816,2022-02-22.0149496,bm,1.55,16.779,15.317,0.057,2.711,0.141,g
2459633.71071,2022-02-23.2075097,bE,1.49,17.102,14.713,0.024,4.731,0.105,g
2459634.80394,2022-02-24.3007442,bi,1.42,16.976,14.736,0.028,4.629,0.118,g
2459635.79891,2022-02-25.2957351,bi,1.49,16.921,14.779,0.030,4.451,0.124,g
2459636.76607,2022-02-26.2629049,bi,1.49,16.989,14.895,0.032,3.999,0.116,g
2459637.68562,2022-02-27.1824657,bi,1.42,17.230,14.400,0.016,6.308,0.093,g
2459638.71879,2022-02-28.2156546,bi,1.40,17.223,14.403,0.016,6.295,0.094,g
2459639.76697,2022-03-01.2638519,bi,1.43,17.192,14.329,0.016,6.739,0.096,g
2459639.80220,2022-03-01.2990771,bE,1.51,17.270,14.312,0.014,6.845,0.090,g
2459640.64547,2022-03-02.1423758,bi,1.46,17.151,14.422,0.018,6.184,0.100,g
2459642.74643,2022-03-04.2433614,bi,1.44,17.267,14.331,0.015,6.722,0.090,g
2459644.43936,2022-03-05.9363363,bm,1.55,17.236,14.342,0.015,6.654,0.093,g
2459645.76449,2022-03-07.2614964,bi,1.44,17.359,14.258,0.012,7.191,0.083,g
