###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
58119.487126  13.459  0.005 15009   74 o  0  70.51 123.84754 -38.98983  9208.97  8475.89 4.07 2.93 -84.7 -0.395 18.07 18.86 01a58119o0644o
58119.495165  13.475  0.004 14798   56 o  0 215.61 123.84754 -38.98983  1430.90  1777.01 3.33 2.85  81.1 -0.467 18.13 18.90 01a58119o0661o
58119.496079  13.469  0.004 14880   56 o  0 205.73 123.84754 -38.98983  1418.09  1898.27 3.46 2.89  86.1 -0.461 18.06 18.87 01a58119o0663o
58121.480341  13.541  0.004 13919   54 o  0 754.40 123.84754 -38.98983  1290.24  4647.84 2.47 2.16  42.5 -0.451 18.23 18.69 02a58121o0624o
58121.481710  13.565  0.004 13612   56 o  0 684.43 123.84754 -38.98983  1320.59  4686.05 2.40 2.12  44.8 -0.465 18.18 18.68 02a58121o0627o
58121.493996  13.581  0.004 13410   58 o  0 711.91 123.84754 -38.98983  1257.53  4610.35 2.41 2.08  34.9 -0.479 18.12 18.57 02a58121o0652o
58121.504950  13.587  0.005 13347   60 o  0 730.87 123.84754 -38.98983  1240.33  4726.95 2.44 2.01  30.3 -0.471 17.99 18.45 02a58121o0676o
58123.488972  13.514  0.003 14272   47 o  0 526.71 123.84754 -38.98983  4030.01  4085.91 3.52 2.84 -89.4 -0.425 18.42 19.62 01a58123o0336o
58123.501339  13.481  0.003 14704   46 o  0 436.42 123.84754 -38.98983  4069.95  4172.87 3.61 2.96 -89.3 -0.426 18.36 19.62 01a58123o0363o
58123.511878  13.524  0.003 14142   46 o  0 531.24 123.84754 -38.98983  4017.77  4139.78 3.48 2.90 -88.7 -0.436 18.43 19.60 01a58123o0385o
58123.513252  13.469  0.003 14872   46 o  0 406.84 123.84754 -38.98983  3988.19  4262.19 3.76 3.03 -87.2 -0.430 18.35 19.60 01a58123o0388o
58127.486736  13.455  0.003 15061   40 o  0 1145.73 123.84754 -38.98983  2971.59  2630.12 3.62 3.21  87.6 -0.429 19.00 21.01 01a58127o0642o
58127.495017  13.474  0.003 14809   40 o  0 1100.16 123.84754 -38.98983  3006.79  2703.16 3.51 3.23  87.4 -0.427 18.96 20.92 01a58127o0659o
58127.496848  13.446  0.003 15197   42 o  0 741.61 123.84754 -38.98983  2949.68  2634.01 3.62 3.24 -86.8 -0.431 18.91 20.90 01a58127o0663o
58127.500512  13.449  0.003 15154   41 o  0 764.93 123.84754 -38.98983  2936.96  2765.72 3.66 3.32 -88.1 -0.416 18.92 20.91 01a58127o0671o
58129.482217  -1.543  0.644 15037656164 9679410864 o  0   0.75 123.84754 -38.98983  9289.82  8123.26 2.21 2.11  49.3 -0.466 -2.67 -1.24 02a58129o0628o
58129.489522  13.424  0.050 15508  778 o  0   2.01 123.84754 -38.98983  9275.72  8085.42 2.79 2.62  59.6 -0.471 15.17 16.70 02a58129o0644o
